"NeighborLabel","CompoundName","Similarity","PredProbability"
0,"Westiellamide",0.437106918238994,0.281446540880503
1,"Trichormamide B",0.690279486728775,0.845139743364387
1,"Tricholide B",0.287425149700599,0.6437125748503
1,"Tricholide A",0.286012526096033,0.643006263048016
1,"Smenamide C",0.237947122861586,0.618973561430793
1,"Credneramide A",0.320359281437126,0.660179640718563
1,"Credneramide B",0.282828282828283,0.641414141414141
0,"Smenamide E",0.271639042357274,0.364180478821363
1,"Smenamide D",0.237947122861586,0.618973561430793
1,"Trichophycin A",0.252403846153846,0.626201923076923
0,"Tjipanazole G2",0.151793160967473,0.424103419516264
0,"Tjipanazole G1",0.151793160967473,0.424103419516264
1,"Tjipanazole J",0.17410071942446,0.58705035971223
1,"Tjipanazole D",0.13953488372093,0.569767441860465
1,"Tjipanazole F2",0.16580310880829,0.582901554404145
1,"Tjipanazole C4",0.153846153846154,0.576923076923077
1,"Tjipanazole C2",0.153846153846154,0.576923076923077
1,"Tjipanazole I",0.150684931506849,0.575342465753425
1,"Tjipanazole F1",0.162790697674419,0.581395348837209
1,"Tjipanazole C3",0.150990099009901,0.57549504950495
1,"Tjipanazole C1",0.150990099009901,0.57549504950495
1,"Tjipanazole B",0.165413533834586,0.582706766917293
0,"Tjipanazole A2",0.156219864995178,0.421890067502411
1,"Tjipanazole E",0.16140350877193,0.580701754385965
0,"Tjipanazole A1",0.156219864995178,0.421890067502411
0,"Tolyporphin C",0.2609375,0.36953125
0,"Tolyporphin K",0.241154562383613,0.379422718808194
0,"Tolyporphin E",0.285714285714286,0.357142857142857
0,"Tolyporphin F",0.294554455445545,0.352722772277227
0,"Tolyporphin B",0.258970358814353,0.370514820592823
0,"Tolyporphin D",0.253922967189729,0.373038516405136
0,"Tolyporphin I",0.220695970695971,0.389652014652014
0,"Tolyporphin G",0.226653696498054,0.386673151750973
0,"Tolyporphin H",0.226653696498054,0.386673151750973
0,"Tolyporphin J",0.193018480492813,0.403490759753593
1,"Tolybyssidin A",0.66682077361689,0.833410386808445
0,"Tolypodiol",0.420600858369099,0.289699570815451
1,"Nakienone C",0.213903743315508,0.606951871657754
1,"Nakienone B",0.152284263959391,0.576142131979696
1,"Nakienone A",0.170103092783505,0.585051546391752
0,"Nakitriol",0.107569721115538,0.446215139442231
1,"Ankaraholide A",0.22488536890371,0.612442684451855
1,"Ankaraholide B",0.22328696548171,0.611643482740855
1,"Tasiamid D",0.441756605880164,0.720878302940082
1,"Tasiamid C",0.447882136279926,0.723941068139963
1,"Tasiamid E",0.474131559497413,0.737065779748706
0,"Tasipeptin A",0.650040225261464,0.174979887369268
1,"Caracolamide A",0.208459214501511,0.604229607250755
1,"Santacruzamate A",0.234567901234568,0.617283950617284
0,"Guineamide",0.294283036551078,0.352858481724461
0,"Largazole",0.298668885191348,0.350665557404326
1,"Carmaphycin A",0.344086021505376,0.672043010752688
1,"Carmaphycin B",0.337760910815939,0.668880455407969
0,"Malevamide A",0.43738367455464,0.28130816272268
1,"Malevamide B",0.458516608524192,0.729258304262096
1,"Symplocamide A",0.654212195981671,0.827106097990836
1,"Symplostatin 2",0.648648648648649,0.824324324324325
0,"Micromide",0.413970588235294,0.293014705882353
1,"Hoiamide B",0.46129470348574,0.73064735174287
1,"Veraguamide D",0.386831275720165,0.693415637860083
1,"Malevamide C",0.438825677763731,0.719412838881865
0,"Samoamide A",0.566813048933501,0.216593475533249
1,"Veraguamide G",0.388377926421405,0.694188963210703
1,"Veraguamide C",0.366104483751543,0.683052241875772
1,"Veraguamide E",0.402214022140221,0.701107011070111
1,"Tasiamid A",0.468163415531837,0.734081707765919
1,"Malevamide D",0.334486735870819,0.66724336793541
1,"Symplostatin 3",0.348774885145482,0.674387442572741
1,"Symplostatin 1",0.344399854067858,0.672199927033929
1,"Dolastatin 10",0.329183449285976,0.664591724642988
0,"Symplocin A",0.495019157088123,0.252490421455938
0,"Belamide A",0.332048811817598,0.333975594091201
0,"Tasipeptin B",0.599813866914844,0.200093066542578
0,"Croissamide",0.501588814744201,0.249205592627899
1,"Veraguamide B",0.336418511066398,0.668209255533199
0,"Malevamide E",0.443768257059396,0.278115871470302
0,"Tasiamid B",0.502568493150685,0.248715753424658
1,"Dinghupeptin B",0.609407561774338,0.804703780887169
1,"Dinghupeptin C",0.58203125,0.791015625
1,"Dinghupeptin D",0.606537890044576,0.803268945022288
1,"Dinghupeptin A",0.624543239951279,0.812271619975639
0,"Dendroamide B",0.517197452229299,0.24140127388535
0,"Dendroamide C",0.499388004895961,0.250305997552019
0,"Dendroamide A",0.610570236439499,0.19471488178025
1,"Biopterin-a-glucoside",0.237442922374429,0.618721461187214
0,"Spumigin N",0.519888346127006,0.240055826936497
1,"Dihydrospumigin M",0.528596187175043,0.764298093587521
1,"Dihydrospumigin K",0.574043261231281,0.787021630615641
1,"Spumigin K",0.54071661237785,0.770358306188925
0,"Spumigin M",0.519888346127006,0.240055826936497
1,"Dihydrospumigin N",0.528596187175043,0.764298093587521
1,"Dihydrospumigin L",0.574043261231281,0.787021630615641
1,"Spumigin L",0.54071661237785,0.770358306188925
1,"Namalide B",0.862630966239814,0.931315483119907
1,"Namalide C",0.859413202933985,0.929706601466993
1,"tetraacyl-sulfo-quinovopyranosyl glycerol",0.200650759219089,0.600325379609544
0,"Scytophycin A",0.258199581297976,0.370900209351012
0,"Scytophycin E",0.293400286944046,0.353299856527977
0,"Scytophycin C",0.28169014084507,0.359154929577465
0,"Scytophycin D",0.279630943931867,0.360184528034067
0,"Scytophycin B",0.278623428193249,0.360688285903376
0,"19-O-deMe-scytophycin C",0.286082474226804,0.356958762886598
0,"6-OH-scytophycin B",0.279776458260566,0.360111770869717
1,"Mirabimide B",0.317769130998703,0.658884565499351
1,"Mirabimide C",0.288250211327134,0.644125105663567
1,"Mirabimide D",0.343472750316857,0.671736375158428
1,"Mirabimide A",0.310300974989402,0.655150487494701
1,"Scytonemide B",0.515391791044776,0.757695895522388
0,"Didehydromirabazole A",0.186335403726708,0.406832298136646
1,"Mirabazole B",0.163922691481747,0.581961345740874
1,"Tantazole I",0.232212160413972,0.616106080206986
1,"Scytonemide A",0.807593307593308,0.903796653796654
0,"Mirabazole C",0.148706896551724,0.425646551724138
0,"Cyanobacterin",0.234273318872017,0.382863340563992
0,"Hydroxycyanobacterin",0.241531664212077,0.379234167893961
0,"Tolytoxin",0.271950802869833,0.364024598565084
0,"6-OH-7-OMe-scytophycin E",0.287344398340249,0.356327800829875
0,"7-Ac-scytophycin B",0.287352660082829,0.356323669958585
1,"Mirabilene C isonitrile",0.206959706959707,0.603479853479854
0,"Scytonemin A",0.618371355189606,0.190814322405197
1,"Mirabimide E",0.202725724020443,0.601362862010221
1,"Mirabilene A isonitrile",0.172757475083056,0.586378737541528
1,"Mirabilene F isonitrile",0.158041958041958,0.579020979020979
0,"Scytoscalarol",0.363636363636364,0.318181818181818
1,"Mirabilene E isonitrile",0.194585448392555,0.597292724196278
1,"Mirabilene B isonitrile",0.206959706959707,0.603479853479854
1,"Mirabilene D isonitrile",0.206959706959707,0.603479853479854
1,"Tutuilamide B",0.595110515740121,0.79755525787006
1,"Tutuilamide A",0.611326378539493,0.805663189269747
0,"Schizotrin A",0.774836549194706,0.112581725402647
1,"Gallinamide A",0.289855072463768,0.644927536231884
1,"Schizopeptin 791",0.933415536374846,0.966707768187423
1,"Viequeamide A",0.422974515024724,0.711487257512362
0,"Viequeamide B",0.447611401043758,0.276194299478121
1,"4S-Hydroxyhomoanatoxin-a",0.18848167539267,0.594240837696335
1,"4-Oxohomoanatoxin-a",0.201058201058201,0.6005291005291
1,"4R-Hydroxyhomoanatoxin-a",0.18848167539267,0.594240837696335
0,"Micropeptin K139",0.7247335538405,0.13763322307975
1,"Puna<U+0092>auic acid",0.204918032786885,0.602459016393442
1,"Radiosumin",0.795366795366795,0.897683397683398
0,"[D-Asp3]MC-HilR",0.871939736346516,0.064030131826742
0,"[D-Asp3,Mser7]MC-LR",0.794871794871795,0.102564102564102
0,"Anabaenopeptin SA2",0.782756941061861,0.108621529469069
0,"Anabaenopeptin SA13",0.886284289276808,0.056857855361596
0,"[D-Asp3,(E)-Dhb7]MC-HtyHty",0.67178002894356,0.16410998552822
0,"[D-Asp3,(E)-Dhb7]MC-HtyY",0.668129938542581,0.16593503072871
0,"[D-Asp3,D-MeO-Glu6]MC-HtyR",0.763636363636364,0.118181818181818
0,"[D-Asp3,DMAdda5]MC-HtyR",0.766950596252129,0.116524701873935
0,"[D-Asp3,Mser7]MC-HtyR",0.745175008177952,0.127412495911024
0,"Anabaenopeptin SA3",0.844270833333333,0.0778645833333335
0,"[D-Asp3,Thr7]MC-RR",0.782870525259284,0.108564737370358
0,"[D-Asp3]MC-HphR",0.827987310539302,0.086006344730349
1,"Phycocyanobilin",0.276504297994269,0.638252148997134
0,"[D-Leu1,D-Asp3]MC-RR",0.857578840284842,0.071210579857579
0,"[D-Leu1]MC-RR",0.826372903650115,0.0868135481749425
0,"MC-HphHph",0.700477326968974,0.149761336515513
0,"Hierridin B",0.279329608938547,0.360335195530726
1,"Phormidolide",0.276848819169109,0.638424409584554
0,"Caylobolide B",0.365591397849462,0.317204301075269
1,"Samholide F",0.231566479123482,0.615783239561741
